DISTANCE,VELOCITY,STEERING
0.58,-0.175,1
0.454446,-0.175,1
0.270272,-0.175,1
0.0629111,-0.175,1
-0.168948,0.175,3
-0.0546501,0.175,3
-0.443041,0.175,3
-0.209432,0.175,3
0.0268013,0,2
0.0268013,0,2
0.383051,-0.175,1
0.788005,-0.175,1
0.56402,-0.175,1
0.333474,-0.175,1
0.0989903,-0.175,1
-0.121498,0.175,3
0.0972404,-0.175,1
-0.12281,0.175,3
0.096803,-0.175,1
-0.123248,0.175,3
0.112552,-0.175,1
-0.118435,0.175,3
0.10599,-0.175,1
-0.11756,0.175,3
0.10599,-0.175,1
-0.124998,0.175,3
0.0976779,-0.175,1
-0.126748,0.175,3
0.102053,-0.175,1
-0.122373,0.175,3
0.0998653,-0.175,1
-0.129373,0.175,3
0.0985529,-0.175,1
-0.10881,0.175,3
0.10949,-0.175,1
-0.102685,0.175,3
0.106865,-0.175,1
-0.110122,0.175,3
0.103365,-0.175,1
-0.118873,0.175,3
0.109927,-0.175,1
-0.0978722,0.175,3
0.114739,-0.175,1
-0.100935,0.175,3
0.103365,-0.175,1
-0.107497,0.175,3
0.096803,-0.175,1
-0.116248,0.175,3
0.0858662,-0.175,1
-0.120185,0.175,3
0.0950531,-0.175,1
-0.116685,0.175,3
-0.160947,0.175,3
-0.542836,0.175,3
-0.426664,0.175,3
-0.217553,0.175,3
0.00555618,0,2
0.00555618,0,2
0.00555618,0,2
0.00555618,0,2
0.00555618,0,2
0.00555618,0,2
0.00555618,0,2
0.00555618,0,2
0.00555618,0,2
0.00555618,0,2
0.00555618,0,2
0.00555618,0,2
0.00555618,0,2
0.00555618,0,2
0.459306,-0.175,1
0.830321,-0.4,0
0.341314,-0.175,1
0.131766,-0.175,1
-0.0769141,0.175,3
0.136578,-0.175,1
-0.0773516,0.175,3
0.135266,-0.175,1
-0.0821642,0.175,3
0.140078,-0.175,1
-0.0729765,0.175,3
0.146203,-0.175,1
-0.0659764,0.175,3
0.155827,-0.175,1
-0.226851,0.175,3
-0.0124862,0,2
-0.0124862,0,2
-0.0124862,0,2
-0.0124862,0,2
-0.0124862,0,2
-0.0124862,0,2
-0.0124862,0,2
-0.438736,0.175,3
-0.358251,0.175,3
-0.150015,0.175,3
0.0660945,-0.175,1
-0.141703,0.175,3
0.0669695,-0.175,1
-0.147828,0.175,3
0.0608449,-0.175,1
-0.139954,0.175,3
0.0652196,-0.175,1
-0.08352,0.175,3
