DISTANCE,VELOCITY,STEERING
-0.585,0.341355,0.341355
-0.340077,0.176388,0.176388
-0.154425,0.171641,0.171641
0.0489574,-0.0631224,-0.0631224
-0.0346638,0.0378292,0.0378292
-0.0873415,0.154083,0.154083
-0.502804,0.264708,0.264708
-0.149417,0.162324,0.162324
0.0697607,-0.142208,-0.142208
-0.111204,0.21591,0.21591
0.522454,-0.408767,-0.408767
0.62176,-0.16654,-0.16654
0.408584,-0.255931,-0.255931
0.0714086,-0.0973091,-0.0973091
-0.0590009,0.0944737,0.0944737
0.0600469,-0.0990501,-0.0990501
-0.0637782,0.115694,0.115694
0.0817047,-0.164545,-0.164545
-0.124807,0.237124,0.237124
0.173374,-0.300132,-0.300132
-0.231058,0.351698,0.351698
0.233172,-0.353167,-0.353167
-0.219775,0.343291,0.343291
0.218781,-0.342517,-0.342517
-0.218794,0.342528,0.342528
0.233344,-0.353285,-0.353285
-0.216199,0.340486,0.340486
0.220472,-0.34383,-0.34383
-0.229094,0.350298,0.350298
0.220174,-0.343599,-0.343599
-0.216195,0.340483,0.340483
0.22984,-0.35084,-0.35084
-0.227123,0.348851,0.348851
0.18626,-0.313651,-0.313651
-0.205024,0.331178,0.331178
0.196528,-0.323534,-0.323534
-0.190915,0.318261,0.318261
0.203737,-0.330046,-0.330046
-0.198921,0.325729,0.325729
0.214741,-0.339323,-0.339323
-0.228926,0.350175,0.350175
0.186917,-0.314313,-0.314313
-0.194964,0.322083,0.322083
0.202003,-0.328507,-0.328507
-0.181541,0.308819,0.308819
0.190576,-0.317937,-0.317937
-0.180609,0.307848,0.307848
0.194207,-0.321376,-0.321376
-0.176988,0.304026,0.304026
0.180996,-0.308251,-0.308251
-0.198161,0.325036,0.325036
0.19514,-0.322248,-0.322248
-0.440825,0.418267,0.418267
-0.536853,0.15582,0.15582
-0.444493,0.262637,0.262637
-0.130645,0.150485,0.150485
0.0612588,-0.104318,-0.104318
-0.063912,0.116294,0.116294
0.0852068,-0.170938,-0.170938
-0.120372,0.230346,0.230346
0.167561,-0.293625,-0.293625
-0.187009,0.314405,0.314405
0.204409,-0.330638,-0.330638
-0.201436,0.328,0.328
0.208568,-0.334247,-0.334247
-0.211725,0.336884,0.336884
0.194257,-0.321422,-0.321422
-0.205097,0.331242,0.331242
0.181623,-0.308904,-0.308904
-0.182105,0.309403,0.309403
0.651418,-0.419796,-0.419796
0.733554,-0.184864,-0.184864
0.507544,-0.249481,-0.249481
0.20879,-0.188072,-0.188072
-0.0154953,0.0162844,0.0162844
0.00436768,-0.0043935,-0.0043935
-0.00100464,0.00101132,0.00101132
0.000218964,-0.000221239,-0.000221239
-4.6463e-05,4.73666e-05,4.73666e-05
1.1673e-05,-1.19e-05,-1.19e-05
-6.9046e-06,7.03887e-06,7.03887e-06
-6.9046e-06,7.03887e-06,7.03887e-06
-6.9046e-06,7.03887e-06,7.03887e-06
-6.9046e-06,7.03887e-06,7.03887e-06
-0.177507,0.268207,0.268207
0.151061,-0.273671,-0.273671
-0.176672,0.30369,0.30369
0.204447,-0.330672,-0.330672
-0.202264,0.328739,0.328739
0.182356,-0.309663,-0.309663
-0.181496,0.308772,0.308772
0.182088,-0.309386,-0.309386
-0.626255,0.420475,0.420475
-0.248735,0.146001,0.146001
-0.0749992,0.10121,0.10121
0.0499782,-0.0654215,-0.0654215
-0.0277196,0.0288836,0.0288836
0.00670746,-0.00674841,-0.00674841
-0.00160873,0.00161881,0.00161881
0.000356445,-0.000359492,-0.000359492
-6.37817e-05,6.50221e-05,6.50221e-05
7.78198e-06,-7.93331e-06,-7.93331e-06
7.78198e-06,-7.93331e-06,-7.93331e-06
